canonical_question_id,chapter,subtopic,question_pattern,micro_concept,difficulty_estimate,final_confidence
cq_000650_f29d5141f7,Principles of Management,Fayol principles,principle-identification,unity of command,easy,0.99
cq_000651_12930ab723,Business Finance,financing decision,definition-based,financial risk,easy,0.52
cq_000652_505d39f36b,Planning,importance,statement true/false,planning,easy,0.43
cq_000653_4e080b396a,Marketing,product,definition-based,price mix,easy,0.92
cq_000654_45821b3a45,Business Environment,dimensions,example-to-concept,environment,easy,0.99
cq_000655_e2db808569,Nature and Significance of Management,meaning and objectives,feature-identification,types of plans,easy,0.50
cq_000656_b62384d317,Planning,types of plans,definition-based,types of plans,easy,0.59
cq_000657_1731dd4b14,Marketing,marketing mix,definition-based,types of plans,easy,0.99
cq_000658_0e9ddfd07e,Organising,organisation structure,feature-identification,formal/informal organisation,easy,0.82
cq_000659_6b079c11ae,Nature and Significance of Management,coordination,principle-identification,coordination,easy,0.63
cq_000660_2d2a26b958,Nature and Significance of Management,levels of management,definition-based,number,easy,0.92
cq_000661_632e0ffb6f,Nature and Significance of Management,levels of management,definition-based,level,easy,0.99
cq_000662_5bff2858d2,Business Finance,financing decision,definition-based,financial risk,easy,0.65
cq_000663_93c3df6d7f,Organising,delegation,definition-based,centralisation/decentralisation,easy,0.72
cq_000664_7c5e620875,Marketing,marketing mix,statement true/false,marketing mix,medium,0.84
cq_000665_b576d50cb6,Organising,meaning and process,chronology/process order,delegation,easy,0.99
cq_000666_8f75ad4a30,Staffing,training and development,definition-based,selection,easy,0.99
cq_000667_88f8546edd,Staffing,selection,chronology/process order,selection,easy,0.99
cq_000668_12e322865c,Controlling,control process,chronology/process order,controlling,easy,0.83
cq_000669_14820a87ac,Controlling,relationship with planning,definition-based,other,easy,0.92
cq_000670_fadc0d8560,Business Finance,fixed capital,match-the-following,financial risk,medium,0.85
cq_000671_6a8c261721,Planning,planning process,chronology/process order,types of plans,easy,0.99
cq_000672_f7052ba313,Business Environment,dimensions,definition-based,recruitment,easy,0.99
cq_000673_3229c3c26a,Staffing,training and development,definition-based,training,easy,0.99
cq_000674_b6274ad9fc,Principles of Management,Fayol principles,principle-identification,discipline,easy,0.98
cq_000675_d338d412bf,Business Environment,importance of environment,definition-based,environment,easy,0.99
cq_000676_542ef35823,Consumer Protection,consumer rights,definition-based,consumer rights,medium,0.99
cq_000677_59350b2e45,Consumer Protection,legal redressal,case-study diagnosis,delegation,hard,0.77
cq_000678_4a3b7766cd,Consumer Protection,legal redressal,definition-based,price mix,medium,0.68
cq_000679_4f9ff57c5e,Consumer Protection,importance,case-study diagnosis,consumer redressal,hard,0.99
cq_000680_4214e18ffc,Consumer Protection,legal redressal,definition-based,consumer redressal,medium,0.99
cq_000681_f048f2d2ae,Nature and Significance of Management,meaning and objectives,case-study diagnosis,types of plans,medium,0.49
cq_000682_7840e93ebf,Directing,communication,definition-based,directing,easy,0.81
cq_000683_39a7f392d3,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.49
cq_000684_a305b3153b,Planning,types of plans,definition-based,types of plans,easy,0.75
cq_000685_c8b68c1fe4,Controlling,control process,definition-based,centralisation/decentralisation,easy,0.49
cq_000686_6a68a87fb8,Principles of Management,Taylor scientific management,principle-identification,scientific management,easy,0.88
cq_000687_e94b480cdc,Nature and Significance of Management,functions of management,definition-based,types of plans,easy,0.90
cq_000688_2c719164f7,Organising,meaning and process,chronology/process order,process,easy,0.71
cq_000689_020e7172c6,Controlling,control process,chronology/process order,controlling,easy,0.99
cq_000690_d9e9287eb3,Nature and Significance of Management,functions of management,match-the-following,management,medium,0.62
cq_000691_533e17fc95,Controlling,relationship with planning,definition-based,controlling,easy,0.82
cq_000692_ccf4633d8f,Consumer Protection,importance,feature-identification,delegation,easy,0.99
cq_000693_60eb3aa562,Consumer Protection,consumer rights,match-the-following,consumer rights,medium,0.99
cq_000694_368757f8a4,Business Environment,dimensions,feature-identification,environment,easy,0.82
cq_000695_ddacf757e6,Controlling,meaning and importance,definition-based,discipline,medium,0.99
cq_000696_d9f40e2f29,Marketing,product,feature-identification,marketing,easy,0.98
cq_000697_9ecb6367f3,Directing,communication,chronology/process order,message,easy,0.99
cq_000698_ce5dd3d484,Marketing,product,match-the-following,product mix,hard,0.99
cq_000699_2c3b3adf58,Directing,meaning and importance,feature-identification,centralisation/decentralisation,easy,0.99
cq_000700_eee869db2e,Business Environment,dimensions,definition-based,environment,easy,0.86
cq_000701_012d99b802,Principles of Management,Fayol principles,match-the-following,division of work,medium,0.99
cq_000702_8e0ccc84d5,Marketing,product,definition-based,price mix,easy,0.92
cq_000703_9775071054,Entrepreneurship Development,need and characteristics,example-to-concept,entrepreneurship,easy,0.92
cq_000704_1378f31050,Controlling,control process,definition-based,deviation,easy,0.62
cq_000705_b006866b86,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000706_2d4286550f,Nature and Significance of Management,functions of management,feature-identification,management,easy,0.99
cq_000707_cff7a12bbd,Directing,communication,definition-based,communication barriers,easy,0.99
cq_000708_6a138612e0,Consumer Protection,importance,feature-identification,consumer,easy,0.81
cq_000709_b5c8f4a001,Directing,leadership,statement true/false,leadership style,medium,0.99
cq_000710_22ae2860b6,Entrepreneurship Development,process,definition-based,entrepreneur characteristics,easy,0.81
cq_000711_e86795d6b7,Planning,importance,definition-based,planning,easy,0.99
cq_000712_ecbc7293a4,Directing,leadership,statement true/false,leadership style,easy,0.56
cq_000713_a71fa577bc,Directing,communication,definition-based,types of plans,easy,0.99
cq_000714_2f00c2ea58,Nature and Significance of Management,features of management,definition-based,management,easy,0.95
cq_000715_d31855db63,Principles of Management,Fayol principles,case-study diagnosis,equity,easy,0.52
cq_000716_17e97d64f4,Organising,importance,definition-based,facilitates,easy,0.99
cq_000717_2c3c0d1bfc,Marketing,marketing meaning,definition-based,marketing,easy,0.71
cq_000718_8b4b43fc8e,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000719_6a22ba9fb8,Planning,types of plans,definition-based,types of plans,easy,0.99
cq_000720_5e0fe02052,Business Environment,meaning and features,match-the-following,environment,medium,0.99
cq_000721_2752948442,Controlling,relationship with planning,statement true/false,controlling,easy,0.81
cq_000722_e78de5e697,Principles of Management,techniques of scientific management,definition-based,scientific management,easy,0.99
cq_000723_9bfb8a0bfd,Nature and Significance of Management,features of management,feature-identification,management,easy,0.89
cq_000724_7e580c8175,Staffing,staffing process,definition-based,recruitment,easy,0.99
cq_000725_8bdbc87a2d,Staffing,selection,definition-based,selection,easy,0.99
cq_000726_76ad0ae817,Staffing,selection,definition-based,recruitment,easy,0.61
cq_000727_cdc0f57a4e,Staffing,staffing process,definition-based,staffing,easy,0.92
cq_000728_1a5f8a6497,Staffing,recruitment,definition-based,recruitment,easy,0.99
cq_000729_a6b2c011d9,Business Finance,working capital,definition-based,types of plans,easy,0.91
cq_000730_f210979f48,Business Finance,financing decision,definition-based,financial risk,easy,0.99
cq_000731_11d98f6755,Business Finance,working capital,definition-based,financial risk,easy,0.82
cq_000732_1ac5e7b44c,Business Finance,financial planning,definition-based,financial,easy,0.99
cq_000733_fc497e7fba,Business Finance,financial planning,definition-based,financial risk,easy,0.87
cq_000734_1641edd5e8,Marketing,product,definition-based,product mix,easy,0.99
cq_000735_f396ac63e8,Entrepreneurship Development,process,chronology/process order,development,easy,0.75
cq_000736_4c799990d7,Organising,meaning and process,chronology/process order,division of work,easy,0.99
cq_000737_f49de07d7f,Staffing,Compensation and Benefits,definition-based,compensation,easy,0.35
cq_000738_3df71160b2,Staffing,training and development,definition-based,training,easy,0.99
cq_000739_57ce8e63e9,Organising,organisation structure,definition-based,organising,easy,0.71
cq_000740_a831af02c1,Principles of Management,Fayol principles,principle-identification,delegation,easy,0.85
cq_000741_bdcf1f2a32,Principles of Management,Fayol principles,principle-identification,scalar chain,easy,0.99
cq_000742_f606bfd49b,Organising,decentralisation,definition-based,centralisation/decentralisation,easy,0.77
cq_000743_6592389b7b,Organising,delegation,definition-based,delegation,easy,0.99
cq_000744_c8e74a0619,Marketing,marketing mix,match-the-following,marketing mix,medium,0.62
cq_000745_4c5330083c,Business Finance,financing decision,definition-based,financial risk,easy,0.56
cq_000746_e94d8d1b7e,Principles of Management,Fayol principles,principle-identification,delegation,easy,0.99
cq_000747_2ad1838706,Directing,Maslow hierarchy,chronology/process order,maslow hierarchy,easy,0.91
cq_000748_b99855f4c9,Directing,communication,feature-identification,scalar chain,easy,0.55
cq_000749_59a3adb0ba,Principles of Management,nature of principles,feature-identification,entrepreneur characteristics,easy,0.69
cq_000750_85c453e99e,Principles of Management,techniques of scientific management,definition-based,scientific management,easy,0.99
cq_000751_9a702bf73e,Nature and Significance of Management,levels of management,statement true/false,management,easy,0.84
cq_000752_acc278fc7d,Nature and Significance of Management,levels of management,definition-based,management,easy,0.87
cq_000753_432dea5eb1,Planning,types of plans,match-the-following,types of plans,medium,0.89
cq_000754_d434d74cb9,Business Finance,financial planning,definition-based,types of plans,easy,0.74
cq_000755_c5fe35978c,Entrepreneurship Development,need and characteristics,match-the-following,desire,medium,0.87
cq_000756_0cdea13a75,Nature and Significance of Management,functions of management,definition-based,management,easy,0.59
cq_000757_c808b57243,Financial Management,Leverage Ratios,definition-based,financial risk,easy,0.36
cq_000758_984b1efba6,Staffing,staffing process,match-the-following,recruitment,medium,0.59
cq_000759_0d67cb8722,Planning,planning process,definition-based,types of plans,easy,0.75
cq_000760_d4815deb3b,Business Environment,dimensions,definition-based,environment,easy,0.99
cq_000761_395f387de5,Functions of Management,Staffing,definition-based,staffing,easy,0.35
cq_000762_3dccfd5754,Marketing,promotion,definition-based,promotion mix,easy,0.99
cq_000763_c953c25aa6,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000764_3a12576f22,Business Finance,fixed capital,definition-based,financial risk,easy,0.54
cq_000765_9b958e5830,Marketing,pricing,feature-identification,types of plans,medium,0.92
cq_000766_32f16d9e17,Nature and Significance of Management,features of management,feature-identification,management,easy,0.99
cq_000767_2aa609a653,Business Finance,financial planning,match-the-following,capital structure,medium,0.89
cq_000768_f7b8a401f5,Principles of Management,Fayol principles,principle-identification,scalar chain,easy,0.80
cq_000769_657e93de5e,Planning,types of plans,definition-based,types of plans,easy,0.93
cq_000770_aeca0e828e,Staffing,selection,chronology/process order,selection,easy,0.99
cq_000771_5682d74405,Marketing,product classification,definition-based,products,easy,0.35
cq_000772_4643d5116f,Planning,planning process,chronology/process order,price mix,easy,0.78
cq_000773_89173750b5,Nature and Significance of Management,functions of management,definition-based,management,easy,0.94
cq_000774_07d4621d37,Controlling,control process,definition-based,training,easy,0.92
cq_000775_5659bdf6a1,Marketing,marketing meaning,definition-based,marketing,easy,0.47
cq_000776_5cf8b6b74b,Controlling,control process,definition-based,performance,easy,0.99
cq_000777_c230ebe8bc,Controlling,control process,definition-based,training,easy,0.92
cq_000778_2ccc8b2914,Directing,meaning and importance,definition-based,leadership style,easy,0.99
cq_000779_6507bab938,Directing,motivation,definition-based,delegation,easy,0.68
cq_000780_5a6c44c730,Staffing,training and development,definition-based,training,easy,0.33
cq_000781_e3bc85679f,Directing,communication,definition-based,centralisation/decentralisation,easy,0.75
cq_000782_0616bb7a5f,Directing,supervision,definition-based,discipline,easy,0.66
cq_000783_93879e3c32,Organising,decentralisation,example-to-concept,centralisation/decentralisation,easy,0.81
cq_000784_8116083757,Entrepreneurship Development,competencies and values,match-the-following,entrepreneur characteristics,medium,0.81
cq_000785_d16946d77b,Staffing,staffing process,definition-based,recruitment,easy,0.66
cq_000786_7a6e4038ac,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000787_531815628d,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.89
cq_000788_974674d417,Nature and Significance of Management,functions of management,definition-based,management,easy,0.97
cq_000789_b8372dd1ed,Business Finance,fixed capital,statement true/false,fixed capital,medium,0.79
cq_000790_4a26bbacea,Business Finance,financing decision,definition-based,financial risk,easy,0.51
cq_000791_bd7ec82f9b,Planning,planning process,chronology/process order,types of plans,easy,0.99
cq_000792_f2bfa845b9,Staffing,staffing process,chronology/process order,recruitment,easy,0.99
cq_000793_8a65bdc666,Staffing,training and development,definition-based,training,easy,0.99
cq_000794_6507fb4976,Business Finance,financing decision,definition-based,financial risk,easy,0.83
cq_000795_8f262eddca,Organising,meaning and process,chronology/process order,division of work,easy,0.99
cq_000796_129c01a7ad,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000797_145294a900,Controlling,control process,chronology/process order,performance,easy,0.92
cq_000798_9ee5fb5deb,Entrepreneurship Development,entrepreneurship in India,feature-identification,india,easy,0.78
cq_000799_fed1d9158f,Staffing,selection,definition-based,selection,easy,0.79
cq_000800_d09be49aa3,Principles of Management,techniques of scientific management,match-the-following,types of plans,medium,0.84
cq_000801_0110df0efc,Financial Management,Current Assets,definition-based,financial,easy,0.35
cq_000802_e6dd5124ce,Nature and Significance of Management,levels of management,definition-based,management,easy,0.99
cq_000803_54afa7111a,Organising,formal and informal organisation,definition-based,formal/informal organisation,easy,0.74
cq_000804_04dc4968b3,Principles of Management,Fayol principles,statement true/false,financial risk,easy,0.72
cq_000805_5acb17749b,Principles of Management,nature of principles,statement true/false,discipline,easy,0.86
cq_000806_ce92923b49,Staffing,recruitment,definition-based,recruitment,easy,0.99
cq_000807_4779a63075,Directing,communication,principle-identification,types of plans,easy,0.42
cq_000808_8961c04a0b,Principles of Management,Fayol principles,match-the-following,equity,medium,0.99
cq_000809_be13c0e025,Entrepreneurship Development,need and characteristics,chronology/process order,tension,easy,0.82
cq_000810_42f99306b8,Directing,Maslow hierarchy,chronology/process order,maslow hierarchy,easy,0.95
cq_000811_346f219677,Directing,communication,statement true/false,communication barriers,easy,0.99
cq_000812_c79fe76ef0,Nature and Significance of Management,coordination,principle-identification,coordination,easy,0.99
cq_000813_a174d45dd8,Controlling,control process,chronology/process order,controlling,easy,0.88
cq_000814_0d5e99952d,Business Finance,current assets,definition-based,financial risk,easy,0.36
cq_000815_98977cf630,Business Environment,dimensions,definition-based,financial risk,easy,0.68
cq_000816_a94cd5e876,Business Environment,dimensions,definition-based,financial risk,easy,0.95
cq_000817_10591263a0,Staffing,meaning and importance,definition-based,recruitment,easy,0.76
cq_000818_b9db1282e6,Directing,Maslow hierarchy,match-the-following,maslow hierarchy,medium,0.89
cq_000819_ed23426d53,Planning,types of plans,statement true/false,types of plans,easy,0.72
cq_000820_10e1878597,Planning,limitations,statement true/false,entrepreneur characteristics,medium,0.56
cq_000821_1d455bd511,Consumer Protection,consumer responsibilities,statement true/false,consumer,easy,0.85
cq_000822_453b4deb98,Consumer Protection,consumer rights,definition-based,consumer rights,easy,0.99
cq_000823_59ad6462a5,Marketing,product,definition-based,recruitment,easy,0.92
cq_000824_a945109f5e,Consumer Protection,importance,definition-based,price mix,easy,0.92
cq_000825_7addf93ffc,Marketing,product,definition-based,product,easy,0.82
cq_000826_0cb1d1f5a4,Directing,communication,definition-based,types of plans,easy,0.58
cq_000827_db7fcf1a6e,Marketing,pricing,definition-based,types of plans,easy,0.99
cq_000828_5f1dd79024,Marketing,promotion,definition-based,promotion mix,easy,0.99
cq_000829_ad270679f1,Marketing,promotion,definition-based,promotion mix,easy,0.99
cq_000830_017da23684,Marketing,marketing mix,feature-identification,marketing mix,easy,0.99
cq_000831_f7e0707b81,Business Finance,working capital,match-the-following,types of plans,medium,0.83
cq_000832_7ee209bd07,Directing,communication,definition-based,promotion mix,easy,0.99
cq_000833_6b62cf749a,Nature and Significance of Management,meaning and objectives,definition-based,types of plans,easy,0.99
cq_000834_7d490917ab,Nature and Significance of Management,levels of management,definition-based,level,easy,0.99
cq_000835_834b857419,Planning,types of plans,match-the-following,types of plans,medium,0.97
cq_000836_105c3dd239,Controlling,meaning and importance,feature-identification,discipline,medium,0.78
cq_000837_eb5a610a07,Business Finance,working capital,definition-based,types of plans,easy,0.74
cq_000838_b5a1e4e573,Marketing,product,definition-based,product,easy,0.92
cq_000839_15b6278c0d,Business Finance,financial management,feature-identification,financial,easy,0.78
cq_000840_76f3797fff,Nature and Significance of Management,features of management,feature-identification,management,easy,0.99
cq_000841_414f7be331,Consumer Protection,importance,definition-based,consumer redressal,easy,0.76
cq_000842_017cc6da16,Marketing,product,definition-based,product mix,easy,0.99
cq_000843_4d9c0ee143,Principles of Management,Fayol principles,match-the-following,scalar chain,medium,0.99
cq_000844_a414d0b175,Controlling,control process,chronology/process order,performance,medium,0.92
cq_000845_78a5a8f217,Business Finance,financing decision,definition-based,financial risk,easy,0.96
cq_000846_ea1e14228a,Marketing,product,definition-based,product,easy,0.92
cq_000847_9a3b1daf43,Planning,planning process,chronology/process order,planning,easy,0.81
cq_000848_20231749a9,Controlling,meaning and importance,definition-based,standards,easy,0.97
cq_000849_9381f53f2a,Marketing,product,chronology/process order,product,easy,0.76
cq_000850_8a1823c603,Controlling,relationship with planning,statement true/false,controlling,medium,0.92
cq_000851_88b27f921d,Business Finance,financing decision,definition-based,financial risk,easy,0.99
cq_000852_f9ce8cc1b0,Nature and Significance of Management,types of business tests,match-the-following,tests,medium,0.36
cq_000853_683fc98a26,Staffing,staffing process,chronology/process order,recruitment,easy,0.99
cq_000854_6037693822,Consumer Protection,consumer rights,definition-based,consumer,easy,0.99
cq_000855_947cc2b0e4,Business Environment,meaning and features,feature-identification,environment,easy,0.99
cq_000856_dd58e1daa8,Marketing,product,feature-identification,product,easy,0.76
cq_000857_9d9dd306b5,Principles of Management,Fayol principles,feature-identification,scalar chain,medium,0.99
cq_000858_4ef6b6e27b,Principles of Management,techniques of scientific management,principle-identification,scientific management,easy,0.77
cq_000859_038aea58f1,Business Environment,Consumer Protection and Legal Aspects,definition-based,beware,easy,0.36
cq_000860_1b61bfa636,Principles of Management,Fayol principles,feature-identification,unity of command,easy,0.53
cq_000861_97a62b2798,Staffing,selection,definition-based,selection,easy,0.85
cq_000862_c81259bb58,Entrepreneurship Development,process,chronology/process order,process,easy,0.66
cq_000863_5ee6ba93bd,Business Finance,financial management,definition-based,maximisation,easy,0.99
cq_000864_ed99ce1852,Directing,communication,definition-based,communication,easy,0.99
cq_000865_ff4b66de54,Nature and Significance of Management,functions of management,definition-based,types of plans,easy,0.95
cq_000866_77c0070fce,Controlling,control process,match-the-following,company,medium,0.88
cq_000867_f14d366f20,Business Finance,fixed capital,definition-based,financial risk,easy,0.65
cq_000868_27c2dd2fc4,Controlling,relationship with planning,definition-based,planning,easy,0.71
cq_000869_0bd99bffff,Staffing,meaning and importance,definition-based,staffing,easy,0.93
cq_000870_b0cafce465,Consumer Protection,importance,definition-based,consumer,easy,0.87
cq_000871_c8fe14c007,Business Environment,importance of environment,case-study diagnosis,environment,medium,0.76
cq_000872_2ea34db6fa,Marketing,product,feature-identification,product,easy,0.92
cq_000873_4bc7eb2308,Business Environment,dimensions,definition-based,environment,easy,0.99
cq_000874_b27a59965b,Business Environment,meaning and features,feature-identification,environment,easy,0.99
cq_000875_4f2084a409,Business Environment,dimensions,statement true/false,environment,easy,0.99
cq_000876_ded7f73922,Organising,organisation structure,definition-based,structure,easy,0.99
cq_000877_7d78afe981,Organising,delegation,definition-based,delegation,easy,0.99
cq_000878_7c0d92d0bb,Organising,delegation,principle-identification,delegation,easy,0.72
cq_000879_4dbd785765,Organising,decentralisation,definition-based,centralisation/decentralisation,easy,0.71
cq_000880_0e752998eb,Organising,delegation,definition-based,delegation,easy,0.73
cq_000881_e49c0e2767,Organising,formal and informal organisation,definition-based,formal/informal organisation,easy,0.99
cq_000882_822eccf17d,Staffing,staffing process,match-the-following,recruitment,medium,0.85
cq_000883_1773661773,Nature and Significance of Management,importance of management,statement true/false,types of plans,medium,0.75
cq_000884_4bea6a2a4c,Directing,meaning and importance,definition-based,types of plans,easy,0.45
cq_000885_e125c094fa,Business Finance,Project Appraisal,definition-based,analysis,easy,0.35
cq_000886_4ee69929f9,Business Finance,financial planning,definition-based,financial,easy,0.92
cq_000887_ad39bdb3bf,Business Environment,importance of environment,statement true/false,helps,medium,0.85
cq_000888_770302a32a,Principles of Management,Taylor scientific management,match-the-following,types of plans,hard,0.77
cq_000889_c663c5724e,Business Finance,financing decision,definition-based,raising,easy,0.62
cq_000890_068eb5c982,Nature and Significance of Management,meaning and objectives,principle-identification,types of plans,easy,0.50
cq_000891_e07836a3aa,Business Finance,financial planning,statement true/false,types of plans,medium,0.99
cq_000892_23b52a20d4,Nature and Significance of Management,features of management,match-the-following,management,medium,0.56
cq_000893_0dd9a5ff1c,Staffing,recruitment,definition-based,recruitment,easy,0.92
cq_000894_b385da7826,Controlling,control process,chronology/process order,controlling,easy,0.92
cq_000895_dcf71024a9,Controlling,meaning and importance,definition-based,discipline,medium,0.99
cq_000896_233337f35b,Controlling,meaning and importance,definition-based,helps,easy,0.99
cq_000897_6bd373bc3f,Consumer Protection,legal redressal,definition-based,consumer redressal,easy,0.99
cq_000898_0d223be777,Nature and Significance of Management,functions of management,definition-based,should,easy,0.99
cq_000899_9b6031f843,Organising,delegation,definition-based,delegation,easy,0.70
cq_000900_f17205a3c4,Business Finance,investment decision,definition-based,types of plans,easy,0.99
cq_000901_5f6ff95b50,Business Environment,dimensions,match-the-following,environment,medium,0.99
cq_000902_99128b13db,Nature and Significance of Management,functions of management,definition-based,management,easy,0.99
cq_000903_2e10cb6a92,Nature and Significance of Management,levels of management,statement true/false,management,medium,0.83
cq_000904_cf29abd455,Organising,meaning and process,chronology/process order,delegation,easy,0.99
cq_000905_33073b8363,Principles of Management,techniques of scientific management,principle-identification,division of work,easy,0.52
cq_000906_d8533e6cca,Directing,motivation,definition-based,motivation,easy,0.76
cq_000907_a1d43fe142,Staffing,meaning and importance,definition-based,staffing,easy,0.77
cq_000908_19c9d8a9a3,Nature and Significance of Management,levels of management,definition-based,management,easy,0.68
cq_000909_9a9feeb610,Organising,decentralisation,definition-based,centralisation/decentralisation,easy,0.67
cq_000910_744b0335a0,Business Finance,investment decision,definition-based,types of plans,easy,0.92
cq_000911_d916c567c6,Staffing,selection,chronology/process order,selection,easy,0.92
cq_000912_a1819ee5c0,Directing,communication,chronology/process order,place/channel,easy,0.98
cq_000913_46aef55c78,Controlling,control process,definition-based,leadership style,easy,0.64
cq_000914_ea50452789,Marketing,product,case-study diagnosis,marketing,medium,0.72
cq_000915_f9cc7f74c5,Marketing,marketing meaning,chronology/process order,marketing,easy,0.68
cq_000916_394fa288cd,Nature and Significance of Management,Organizational Structure and Communication Networks,definition-based,superior,easy,0.35
cq_000917_19357710ba,Principles of Management,Taylor scientific management,feature-identification,scientific management,easy,0.99
cq_000918_7de736f909,Staffing,training and development,case-study diagnosis,training,medium,0.99
cq_000919_a08be17051,Consumer Protection,consumer rights,definition-based,consumer rights,easy,0.99
cq_000920_7ed0265aa5,Directing,communication,match-the-following,types of plans,medium,0.67
cq_000921_b0bedfa523,Planning,types of plans,case-study diagnosis,types of plans,medium,0.88
cq_000922_6d13dc93fd,Directing,leadership,definition-based,training,easy,0.45
cq_000923_5f7757a61d,Planning,types of plans,definition-based,types of plans,easy,0.84
cq_000924_206111f42f,Marketing,marketing meaning,definition-based,marketing,easy,0.84
cq_000925_11502e5a55,Planning,planning process,definition-based,leadership style,easy,0.70
cq_000926_821291556d,Marketing,product,definition-based,product mix,easy,0.99
cq_000927_e07979cd67,Marketing,marketing mix,definition-based,marketing mix,easy,0.99
cq_000928_466fbb35f4,Marketing,marketing mix,definition-based,marketing mix,easy,0.99
cq_000929_09587d0ab9,Marketing,marketing mix,definition-based,marketing mix,easy,0.99
cq_000930_75208713d0,Marketing,Promotion Mix,definition-based,recruitment,easy,0.35
cq_000931_bbde8e2af6,Business Environment,dimensions,definition-based,discipline,easy,0.84
cq_000932_36c1eecbcb,Directing,communication,chronology/process order,communication,easy,0.99
cq_000933_7397e65e64,Planning,importance,feature-identification,planning,easy,0.52
cq_000934_be695cdbb5,Controlling,control process,case-study diagnosis,controlling,medium,0.70
cq_000935_a0a2c17fba,Controlling,meaning and importance,feature-identification,facilitates,easy,0.74
cq_000936_3a6dd51c00,Staffing,recruitment,definition-based,recruitment,easy,0.99
cq_000937_f85792d3c7,Marketing,product,match-the-following,product mix,hard,0.99
cq_000938_29e22fe6b9,Organising,meaning and process,definition-based,process,easy,0.99
cq_000939_d02d4ec8ca,Marketing,product,feature-identification,product mix,easy,0.92
cq_000940_1a7125c5c2,Nature and Significance of Management,coordination,principle-identification,coordination,easy,0.78
cq_000941_0174e10390,Directing,motivation,match-the-following,financial,medium,0.99
cq_000942_781707f25c,Nature and Significance of Management,meaning and objectives,feature-identification,types of plans,easy,0.95
cq_000943_024d431dbb,Controlling,relationship with planning,statement true/false,planning,medium,0.92
cq_000944_f3c10555d4,Marketing,channels of distribution,feature-identification,place/channel,medium,0.99
cq_000945_34d798187f,Staffing,selection,definition-based,selection,easy,0.68
cq_000946_aa0bb61b2f,Entrepreneurship Development,functions of an entrepreneur,feature-identification,entrepreneur,easy,0.35
cq_000947_434b67287b,Consumer Protection,consumer rights,feature-identification,consumer rights,easy,0.99
cq_000948_363eb3a8ef,Planning,types of plans,statement true/false,types of plans,easy,0.83
cq_000949_b2cc24b041,Consumer Protection,consumer rights,statement true/false,consumer rights,easy,0.99
cq_000950_af296df74c,Organising,meaning and process,chronology/process order,delegation,easy,0.70
cq_000951_0ccb98bb04,Organising,decentralisation,definition-based,centralisation/decentralisation,easy,0.99
cq_000952_d5f39a0b5f,Business Finance,Cost Classification,definition-based,variable,easy,0.35
cq_000953_d4e766ba72,Organising,decentralisation,statement true/false,centralisation/decentralisation,easy,0.68
cq_000954_505f8eca69,Marketing,marketing mix,definition-based,marketing mix,easy,0.99
cq_000955_a33f09415c,Planning,planning process,chronology/process order,types of plans,easy,0.83
cq_000956_110bc16237,Nature and Significance of Management,functions of management,match-the-following,management,medium,0.60
cq_000957_58ad792670,Marketing,product,definition-based,product mix,easy,0.77
cq_000958_2f17dc8ad9,Staffing,recruitment,chronology/process order,recruitment,easy,0.92
cq_000959_859d13fd14,Nature and Significance of Management,levels of management,statement true/false,management,easy,0.48
cq_000960_68654cfd76,Consumer Protection,consumer rights,case-study diagnosis,consumer rights,medium,0.99
cq_000961_61c7cc356b,Directing,communication,definition-based,communication barriers,easy,0.99
cq_000962_d562414db1,Directing,communication,feature-identification,communication barriers,easy,0.99
cq_000963_b0287b20dd,Business Environment,dimensions,statement true/false,environment,easy,0.92
cq_000964_aa0821520c,Marketing,promotion,statement true/false,promotion mix,medium,0.99
cq_000965_8a7a1c2b40,Controlling,control process,feature-identification,control,easy,0.80
cq_000966_d2d2ecade1,Entrepreneurship Development,need and characteristics,statement true/false,entrepreneurship,easy,0.56
cq_000967_44197f8e31,Business Environment,dimensions,match-the-following,environment,medium,0.99
cq_000968_1b7a6def5a,Controlling,control process,chronology/process order,controlling,easy,0.92
cq_000969_8df3120b49,Planning,types of plans,match-the-following,types of plans,medium,0.61
cq_000970_3a0b39bdd5,Planning,types of plans,definition-based,types of plans,easy,0.97
cq_000971_a4d7e1bab6,Principles of Management,techniques of scientific management,statement true/false,scientific management,easy,0.99
cq_000972_152aee74f5,Principles of Management,techniques of scientific management,definition-based,scientific management,easy,0.99
cq_000973_4277926898,Principles of Management,techniques of scientific management,statement true/false,scientific management,easy,0.99
cq_000974_15d002a3d6,Principles of Management,Taylor scientific management,statement true/false,scientific management,medium,0.99
cq_000975_152a382dd2,Principles of Management,Taylor scientific management,statement true/false,scientific management,medium,0.99
cq_000976_9b2cd0fa0a,Business Finance,investment decision,chronology/process order,decisions,hard,0.53
cq_000977_9f79650cdc,Business Finance,dividend decision,chronology/process order,financial risk,hard,0.51
cq_000978_ffc6dd223f,Business Finance,dividend decision,chronology/process order,working capital,hard,0.57
